Town,Has SVI tract >0.75 (yes/no) ,Estimated population ,First Doses Administered ,Coverage ,Estimated population .1,First doses administered ,%_75_Plus
Thompson,no ,"9,379",247,2.60%,618,69,11.2
Tolland,no ,"14,618",1050,7.20%,659,342,51.9
Torrington,yes ,"34,044",2353,6.90%,3233,635,19.6
Trumbull,no ,"35,673",3698,10.40%,3718,1256,33.8
Union,no ,839,57,6.80%,61,15,24.6
Vernon,yes ,"29,359",1653,5.60%,2188,570,26.1
Voluntown,no ,"2,510",142,5.70%,121,29,24.0
Wallingford,no ,"44,326",5286,11.90%,4017,1647,41.0
Warren,no ,"1,395",123,8.80%,103,34,33.0
Washington,no ,"3,428",266,7.80%,319,110,34.5
Waterbury,yes ,"107,568",4858,4.50%,7225,1094,15.1
Waterford,yes ,"18,746",1837,9.80%,2093,566,27.0
Watertown,no ,"21,578",1278,5.90%,1772,213,12.0
West Hartford,yes ,"62,965",7380,11.70%,6382,2125,33.3
West Haven,yes ,"54,620",2991,5.50%,3494,675,19.3
Westbrook,no ,"6,869",549,8.00%,631,167,26.5
Weston,no ,"10,252",631,6.20%,438,181,41.3
Westport,no ,"28,491",1720,6.00%,2049,698,34.1
Wethersfield,no ,"26,008",2414,9.30%,3086,791,25.6
Willington,no ,"5,864",289,4.90%,270,57,21.1
Wilton,no ,"18,343",1416,7.70%,1235,769,62.3
Winchester,yes ,"10,604",527,5.00%,880,100,11.4
Windham,yes ,"24,561",1253,5.10%,1497,367,24.5
Windsor,no ,"28,733",1990,6.90%,2120,651,30.7
Windsor Locks,yes ,"12,854",852,6.60%,1134,317,28.0
Wolcott,no ,"16,587",1468,8.90%,1197,300,25.1
Woodbridge,no ,"8,750",1420,16.20%,922,397,43.1
Woodbury,no ,"9,502",774,8.10%,726,172,23.7
Woodstock,no ,"7,858",421,5.40%,455,115,25.3
